Time, Facebook , Google , YouTube 
2022-03-10T01:45:00.000+07:00," 34,858,370,177.29 "," 9,879,129,260.57 "," 349,279,836,655.56 "
2022-03-10T02:00:00.000+07:00," 33,496,445,255.57 "," 10,742,458,607.22 "," 326,140,947,330.51 "
2022-03-10T02:15:00.000+07:00," 31,523,436,987.71 "," 10,916,606,529.25 "," 305,692,091,818.06 "
2022-03-10T02:30:00.000+07:00," 29,331,742,687.85 "," 10,584,278,228.68 "," 286,710,702,189.57 "
2022-03-10T02:45:00.000+07:00," 26,400,029,904.44 "," 10,701,975,490.12 "," 263,643,397,031.20 "
2022-03-10T03:00:00.000+07:00," 22,103,043,229.28 "," 8,933,063,676.21 "," 215,735,561,390.23 "
2022-03-10T03:15:00.000+07:00," 22,316,720,598.56 "," 9,565,973,622.11 "," 222,184,350,615.24 "
2022-03-10T03:30:00.000+07:00," 21,293,095,252.60 "," 8,884,903,007.34 "," 213,294,543,543.32 "
2022-03-10T03:45:00.000+07:00," 21,310,420,590.08 "," 8,845,742,621.30 "," 204,142,709,241.17 "
2022-03-10T04:00:00.000+07:00," 20,867,114,416.85 "," 8,899,864,021.08 "," 194,281,050,904.73 "
2022-03-10T04:15:00.000+07:00," 20,506,666,069.98 "," 9,241,560,764.91 "," 183,968,985,252.05 "
2022-03-10T04:30:00.000+07:00," 21,548,488,588.26 "," 9,538,562,046.92 "," 177,626,121,247.33 "
2022-03-10T04:45:00.000+07:00," 23,455,108,709.50 "," 9,589,442,753.53 "," 176,009,556,188.02 "
2022-03-10T05:00:00.000+07:00," 27,383,786,791.85 "," 7,979,541,080.04 "," 182,235,640,732.12 "
2022-03-10T05:15:00.000+07:00," 30,242,929,375.26 "," 7,399,625,161.33 "," 188,122,870,623.55 "
2022-03-10T05:30:00.000+07:00," 34,799,129,470.44 "," 7,757,286,973.54 "," 196,764,624,377.96 "
2022-03-10T05:45:00.000+07:00," 38,967,942,307.85 "," 7,998,725,410.50 "," 210,986,746,225.36 "
2022-03-10T06:00:00.000+07:00," 46,473,653,446.61 "," 8,430,696,265.63 "," 229,054,643,307.55 "
2022-03-10T06:15:00.000+07:00," 51,929,808,580.79 "," 9,311,587,659.48 "," 255,219,974,698.17 "
2022-03-10T06:30:00.000+07:00," 59,095,216,514.56 "," 9,122,637,046.58 "," 297,209,803,272.88 "
2022-03-10T06:45:00.000+07:00," 63,825,932,147.76 "," 9,641,432,674.72 "," 340,140,558,748.70 "
2022-03-10T07:00:00.000+07:00," 68,957,869,852.25 "," 9,740,969,024.73 "," 384,940,009,178.54 "
2022-03-10T07:15:00.000+07:00," 70,837,112,593.63 "," 9,715,692,263.59 "," 424,381,981,885.97 "
2022-03-10T07:30:00.000+07:00," 72,177,902,413.73 "," 10,371,555,630.17 "," 457,274,721,813.12 "
2022-03-10T07:45:00.000+07:00," 73,845,183,630.50 "," 11,091,920,764.79 "," 494,002,209,666.00 "
2022-03-10T08:00:00.000+07:00," 76,634,704,952.96 "," 12,401,453,193.32 "," 530,820,414,332.61 "
2022-03-10T08:15:00.000+07:00," 78,656,021,142.20 "," 12,440,307,648.85 "," 568,875,185,463.48 "
2022-03-10T08:30:00.000+07:00," 80,946,663,158.59 "," 13,076,794,322.36 "," 602,356,785,311.72 "
2022-03-10T08:45:00.000+07:00," 83,178,933,434.62 "," 13,764,827,853.96 "," 641,651,606,216.35 "
2022-03-10T09:00:00.000+07:00," 86,086,067,032.51 "," 14,422,324,006.70 "," 674,815,335,511.18 "
2022-03-10T09:15:00.000+07:00," 88,059,841,574.98 "," 14,814,596,317.42 "," 713,191,061,139.39 "
2022-03-10T09:30:00.000+07:00," 89,983,681,381.75 "," 15,212,401,968.31 "," 734,177,355,327.86 "
2022-03-10T09:45:00.000+07:00," 90,991,872,835.68 "," 15,996,853,173.87 "," 753,785,557,818.73 "
2022-03-10T10:00:00.000+07:00," 92,436,222,995.29 "," 16,349,101,604.68 "," 767,478,813,289.90 "
2022-03-10T10:15:00.000+07:00," 94,153,459,066.21 "," 16,080,268,019.77 "," 783,014,827,830.89 "
2022-03-10T10:30:00.000+07:00," 96,109,439,283.88 "," 16,132,477,281.81 "," 800,284,574,819.57 "
2022-03-10T10:45:00.000+07:00," 97,329,448,997.81 "," 15,075,744,585.04 "," 813,300,498,048.78 "
2022-03-10T11:00:00.000+07:00," 98,052,423,518.77 "," 15,805,361,475.26 "," 819,536,038,414.01 "
2022-03-10T11:15:00.000+07:00," 98,238,685,086.35 "," 16,367,057,074.26 "," 822,400,803,099.37 "
2022-03-10T11:30:00.000+07:00," 99,625,251,673.57 "," 16,065,197,966.60 "," 826,032,481,537.42 "
2022-03-10T11:45:00.000+07:00," 101,442,704,767.73 "," 16,221,508,894.19 "," 832,491,518,627.29 "
2022-03-10T12:00:00.000+07:00," 101,824,479,674.46 "," 15,883,609,447.49 "," 827,198,045,147.64 "
2022-03-10T12:15:00.000+07:00," 105,506,537,018.49 "," 15,321,264,200.64 "," 847,439,573,156.60 "
2022-03-10T12:30:00.000+07:00," 108,557,115,037.03 "," 15,210,199,643.64 "," 849,613,841,176.05 "
2022-03-10T12:45:00.000+07:00," 109,296,049,987.07 "," 14,834,375,511.75 "," 847,423,320,281.95 "
2022-03-10T13:00:00.000+07:00," 107,149,530,644.53 "," 15,119,441,460.52 "," 829,341,993,251.30 "
2022-03-10T13:15:00.000+07:00," 108,955,099,417.79 "," 15,302,452,210.86 "," 847,875,894,553.00 "
2022-03-10T13:30:00.000+07:00," 109,085,460,494.81 "," 15,704,523,844.92 "," 851,480,851,522.56 "
2022-03-10T13:45:00.000+07:00," 108,357,606,951.03 "," 16,607,764,734.10 "," 849,765,761,813.63 "
2022-03-10T14:00:00.000+07:00," 103,527,013,672.25 "," 14,988,058,071.97 "," 816,008,168,991.40 "
2022-03-10T14:15:00.000+07:00," 108,230,969,984.83 "," 15,062,610,256.00 "," 848,476,260,215.61 "
